,name,creator,history_text,alignment,past_alignment
19,adam strange,dc comic,work dig caramanga south america adam transport planet rann via zetabeam immediately befriend rannians take flight pack raygun assist also fell love rannian woman name alanna zeta beam teleportation effect wear adam return earth however able return rann follow schedule zeta beam would next hit schedule archeological trip coincide location time also marry alanna initially believe zeta beam use simply friendly communication rann earth however later hint rann search suitable mate planet rannians find sterile adam meet jla help battle kanjarro decline membership offer continue act earth rann help improve relation among different planet still earth adam falsely told alanna die childbirth later reunite wife daughter adam later tell rann destroy starbreaker omega beam however actually early warning sardath adam able prevent ranns destruction help omega men remain darkstars although thanagar destroy survive refugee settle rann thanagarians rannians recently begin fight manipulate blackfire adam green lantern kyle rayner able halt war adam strange strand paradiselike planet fellow hero animal man starfire battle alexander luthor superboyprime incident result loss eye several week adam able get spaceship work depart earth ship however attack devilance encounter planet pursue space lobo appear time destroy devilance negotiation agree help,good,bad
20,agent mcu,marvel comic,greatnieceof shields cofounder peggy carter sharon grow interest agency follow peggys advice join despite mother protest contrary ensure would not famed ancestor shadow shron refuse disclose surname shield,good,good
21,agent,marvel comic,sharon carter daughter harrison amanda carter two wealthy virginian young sister margaret peggy carter heroic freedom fighter world war ii share many adventure captain america suppose death end war peggy return home need hospitalization traumatic shellshock tell young sister many story captain america inspire tale sister exploit sharon decide become agent shield international espionage agency first major assignment sharon carter codenamed agent choose pick cylinder contain powerful explosive call inferno shield agent steal govern body subversive organization hydra coincidence captain america secret identity steve rogers saw carter way receive cylinder strike close resemblance sister peggy however rogers idea sharon carter know peggy cover identity soon afterwards sharon carter attack costumed mercenary batroc hire recover cylinder captain america rogers come assistance batroc battle carter make cylinder unaware casing damage activate explosive within learn batroc shield agent captain america go pursuit succeed save life prevent make use explosive captain america continue cross path carter two adventure know agent one adventure captain america rescue subversive group aim two fell deeply love late assignment bring nazi red skull fourth sleeper robot together carter allow shield reveal secret identity captain america two become lover remain ally many subsequent mission carter briefly join shields socalled femme force allwomen squad commando later captain america learn carter sister woman love world war ii able rescue clutch evil doctor faustus mission doctor faustus carter participate would come believe final mission carter assign shield liaison new york city police department organization investigate subversive group call national force secretly control doctor faustus carter fell thrall faustus mindinfluencing gas rally central park abduct others national force grand director also fourth captain america carter others group coerce march new york city harlem area burn confront national guard mesmerize carter accordance order give faustus activate selfdestruct device costume believe incinerate member rally later reveal carter death stag shield director nick fury carter could go perform even dangerous assignment however something go wrong carter believe dead shield leave abandon behind enemy line end join shields enemy resentment toward fury even go become agent red skull however captain america defeat skull plan two reunite carter return home still wish confront nick fury carter learn not fury believe dead kill vigilante know punisher death funeral stag carter surreptitiously infiltrate agency investigate find pursue shield want treason avoid capture carter force escape energy portal find abandon shield safehouse find nazi territory world war ii encounter nick fury fury find document question fate predecessor shield director codenamed fall angel believe kill agent hydra fact abandon shield hydra kidnap fury set track fall angel situation politically volatile fury divert attention investigation stag death search lead backslide supposedly abandon shield project create portal fabricate cosmic cube ultimately fall angel hop fury might use portal go back time prevent shield form thus gain revenge abandonment fury disagreed fall angel struggle end travel portal not lead back time merely create reality base memory war two soldier fall angel take life fury leave trapped fight stalemate war month carter presence allow backslides reality change offer way together fury carter battle way free side portal shield agent destroy portal since fury one could open carter fury manage escape moment portal destruction although fury disappear explosion soon afterward carter reenlisted shield recently sharon serve brief term executive director shield nick furys absence currently field agent report directly new executive director liaison officer specifically assign support report captain america activity captain america carter continue work together remain close recently begin investigate winter soldier follow conclusion civil war agent find pawn doctor faustus red skull use faustus expertise hypnosis villain activate subconscious command sharons mind force shoot kill captain america,good,bad
22,agent bob,marvel comic,bob agent hydra sidekick deadpool cowardly young man bob persuade join criminal organization hydra wife allison accuse not able hold steady job thought stable career dental plan also appeal bob though disappoint find hydra not offer full dental like aim deadpools assault hydra rescue captured united state america run bob coerce help bob hesitant hydra would not allow back organization betray deadpool four inch tall time torture security card relent force bob fly safety one hydra jet though bob not know pilot aircraft deadpool agent x bob return united state find outlaw sandi missing bob accompany deadpool mission save girl subsequently become honorary member agency x continue work group various mission refer deadpools pet minion pc bob recently shoot leg raid hydra base deadpool kidnap attempt save weasel wolverine wolverine cut deadpools head bob one put back let deadpools heal factor kick deadpool bob rescue weasel suddenly teleport past aid captain america bucky stop arnim zola follow adventure bob accompanied deadpool mission various dimension help doctor strange save reality damage tray novice magic also travel deadpool weasel savage land run away assortment dinosaur deadpool attempt teleport dinos genosha prank magneto instead send genoshan embassy downtown manhattan well infect alien symbiotes responsible venom carnage resultant battle bob attempt flee accidentally cause death one creature news crew watch think action intentional interview bob claim h uniform stood hero receive text message allison see event news think hot bob see watch television deadpool support cast series end bob later see assist deadpool defeat tiger shark deadpool ask bob reply youuh save deadpool tell bob throw rifle bob throw not get rifle fall water tiger shark wait bob throw like girl knock water however deadpool save last second able outmaneuver tiger shark bob shot hand explain deadpool along tiger shark hire norman osborn deadpool soon realizes stole height secret invasion skrulls later bob call upon deadpool want bob pirate bob get stick deadpools parrot catch scurvy possibly heat stroke world war hulk story line bob use time platform send hulkpool gammapowered deadpool back time kill deadpool unfortunately send alternate reality thing blackbeard bob try correct mistake end transport dinosaur reality,good,bad
23,agent carter,marvel comic,drmargaretalexandrapeggy carter bear wealthy carter family richmond virginia june consider virginia royalty grow alongside brother harrison teenaged peggy eventually learn world war ii leave france join fight,good,good
24,agent coulson destroyer gun,marvel comic,shield recover wreckage destroyer puente antiguo assign shield project phase project aim develop new technology capable offer humanity incredible defense face threat level destroyer abomination shield researcher reverse engineer wrecked sentinel develop destroyer gun remains,good,bad
25,agent coulson mcu,marvel comic,son robert julie coulson phil coulson bear manitowoc wisconsin july child wish sibling idealize kind relationship would young brother coulson family identify catholic would attend mass christmas easter coulson grow huge fan peggy carter captain america acquire vintage captain america card collection course two year play baseball little league batting average father introduce car tinkering together work red corvette phil keep day coulson lose father young age mother decease well high school college study history learn shield shape time recruit right away strategic homeland intervention enforcement logistics division study shield academy communication eventually become special agent teach supervise officer nick fury alongside john garrett,good,bad
26,agent may mcu,marvel comic,melinda may bear william intelligence operative lian may age become ice skater admire famous ice skater dorothy hamill win many award competition however find ice hard fell age switch martial art floor pad,good,bad
28,agent zero,marvel comic,bear former east germany christoph nord idealist fight communist regime freedom fighter west german cell six nords brother andreas fight east german two meet battle nord force kill brother later encounter assassin call confessor nord recover german hospital fell love nurse ginetta barsalini two marry soon fell pregnant later learn double agent force kill attack guilt pain drive far mercenary work eventually accept offer join central intelligence agency weapon x program nord join program covert operation unit team x change name david north take codename maverick recent year japanese crimelord matsuo tsurayaba ally include former weapon x scientist doctor cornelius resurrect russian supersoldier omega red order stabilize mutant power omega red require carbonadium synthesizer device steal team x decade earlier omega red capture maverick former team x teammate wolverine location csynthesizer bury memory several wolverine teammate xmen maverick hire former team x liaison major arthur barrington prevent omega red obtain device track another former team x member sabretooth omega red location maverick help xmen able defeat villain subsequently kill cornelius act revenge barrington later send maverick recover document know xavier file father xmens telepathic founder professor charles xavier file possession former colleague xavier father doctor alexander ryking protection superhuman mercenary warhawk ensue clash warhawk explode kill ryking seemingly destroy file maverick assign yous government protect aldo ferro former weapon x ally maverick former team x alumnus seek ferro one number mastodon die age suppression factor seemingly reverse unbeknownst team x ferro responsible secretly implant false memory time weapon x ferro betray maverick side former teammate ferro seemingly kill subsequent battle maverick next sought hunt sabretooth make pay numerous crime join force xmen capture maverick subsequently learn contract deadly mutantkilling legacy virus ask wolverine kill order avoid prolonged suffering wolverine refuse maverick come form siblinglike bond another virus sufferer chris bradley final stage infection maverick encounter russian mutant telepath elena ivanova hunt sabretooth avenge murder mother virus claim maverick life ivanova manage use power coax back life result maverick legacy virus go full remission power far mutate maverick capture russian crimelord ivan pushkin whose scientist implant false memory maverick mind make believe barrington responsible wife betrayal pushkin intend maverick kill barrington prevent provide testimony threaten pushkin financial interest maverick locate barringtons safehouse oppose member canadian superteam alpha flight maverick overcame pushkins mental manipulation however late save barrington pushkin agent hammer sickle late encounter hammer sickle maverick leave eye gouge sickle leave die swiss alp force cauterize wound stop bleed death maverick survive later resurface aid wolverine revive weapon x program new program send sabretooth recruit maverick fellow team x alumnus john wraith neither accept offer sabretooth kill wraith critically injured maverick bring program minute live maverick reluctantly join order survive genetically modify become agent zero although efficient operative zero hat become frequently consider suicide first assignment zero send assassinate wolverine attempt director break spirit deliberately miss target zero punish electric shock later zero recapture sabretooth betrayal program would kill director not shock change leadership program zero assign track antihuman terrorist group gene nation revive former weapon x operative marrow confront zero learn late recruit man use former identity maverick send attack new york grand central station confront impostor zero inflict fatal wound upon learn friend chris zero set task wipe gene nation new zeal although decline make marrow martyr return abandon weapon x facility zero investigation lead join wolverine enigmatic mercenary fantomex oppose project original founder john sublime,good,bad
33,akita,lego,akita twin brother kataru find animal form choosing ceremony however day vex arrive threaten loyalty since find new power self exile formlings refuse serve promise return strong force encounter leave mark akita worry end like vex fail assure brother sibling set look animal spirit guide set camp forest night akita wake hear voice call lure sound climb tree cloud saw animal threetailed wolf race catch spirit earn form wolf return suddenly attack large bear realize brother new animal form cheer find animal form akita decide go walk forest return village find freeze everyone inside big block ice weep sadden loss people see boreal vex ice emperor head toward vex ice emperor attack boreal kataru appear bear form defend akita slash beast scrap wing roar akita tell kataru run kataru continue fight boreal cover beam snow akita saw kataru go broke last formling leave akita watch anger vex ice emperor boreal satisfy deed leave village akita head village never look back vow return bring justice village,good,bad
34,alex danvers cw,nan,nan,good,good
36,alfred dceu,dc comic,alfred cranepennyworth butler mentor surrogate father close friend bruce wayne alfred serve wayne family since bruce bear bruce leave orphan murder parent boy alfred watch parental figure watch grow mature assist quest become batman later assist batman fight superman fight doomsday gotham port along superman wonder woman successful assist batman justice league try stop steppenwolf attempt terraform earth attempt yield success,good,good
37,alfred pennyworth,dc comic,alfred pennyworth british butler valet wayne family take role legal guardian bruce wayne murder thomas martha wayne alfred grow england join army become age sever various conflict world gain skill field medic spend year member soldier british guard later become member mi retire take career actor perform uk follow dream father dy contact thomas inform father passing agree become wayne butler honour die wish father time begin work wayne bruce young child several month alfred voice desire return home continue life actor however plan forget young master wayne return home get fight school bully alfred teach bruce way deal bully strategically rather use brute force advice master wayne manage take care bully problem return home bruce request alfred stay alfred agrees without second thought murder thomas martha wayne alfred name bruce legal guardian however social service combat think bruce not raise servant however bruce manage remain alfred care despite young age bribe social service agent allow alfred raise alfred raise young bruce wayne together dr leslie thompkins close friend colleague thomas wayne later bruce decide travel abroad alfred stay wayne manor begin short live romance dr leslie tompkins alfred please young master bruce return home wayne manor many year study training return support bruce plan take back gotham city criminal help best first alfred patch bruce discover bat sudy inspire costume strike fear criminal lieutenant gordon wife come visit bruce help convince employee nothing playboy billionaire hurt leg skiing accident alfred accompanies master wayne uk anger insist endanger health paraplegic culmination several week wayne selfdestructive behaviour wayne return gotham city alfred remain britain tender resignation spend time holiday travel various exotic locatiobns antarctica caribbean return great britain dick grayson track several month later convince return america resourcefulness come fore man land event batman miss week leave alfred alone watch city use skill actor storyteller medic spy survive collect information recently destroy society alfred even use handtohand combat rare onpanel fight sequence pair slaver end rescue justreturned batman batman death alfred set new outsider team effort fill batman shoe combine effort,good,bad
39,alita,nan,alita know japan gally originally name yoko protagonist title character battle angel alita,good,good
41,allan quatermain,wildstorm,follow retire public eye many adventure quatermain come live cairo become opium addict recluse however eventually seek mina murray part league extraordinary gentleman group gather behalf british government retrieve steal metal cavorite vital countrys space race initially refuse local try rape mina old heroism kick save pursue angry mob two flee dock safety nautilus unable return home cairo quatermain agree join mina captain nemo subsequently aid mina inspector auguste dupin capture edward hyde paris although also responsible mina get capture hyde first place capture recruit hawley griffin aka invisible man league start track miss cavorite quatermain henry jekyll hydes alter ego scout limehouse area believe take infiltrate poorhouse build hidden base cavorite keep clutch tong lead chinese crimelord call doctor successfully brutally thanks involvement hyde retrieve mineral hand superior discover order come infamous professor moriarty another crimelord immediately use launch vast airship initiate aerial battle london army chinese rival league board airship attack quatermain manage take moriartys personal bodyguard although fail kill moriarty subsequent league send investigate meteorite landing prelude martian invasion griffin betray league attack mina quatermain send away together track doctor moreau recruit aid fight martiansit period mina become lover although thing briefly complicate quatermain discover scar leave mina neck dracula find moreau quatermain mina return london horrify learn creature moreau give hybrid virus would kill innocent well martian griffin hyde dead casualty brief war nemo resign league fit rage use germ warfare mina leave quatermain due confusion feeling quatermain leave alone league uncertain,good,bad
42,altair ibnlaahad,ubisoft,altair ibnlaahad member levantine brotherhood assassin serve mentor death tenure mentor knowledge apple eden altair make several discovery invention greatly help order progression leadership saw spread assassin influence throughout old world,good,good
44,amadeus cho,marvel comic,amadeus cho koreanamerican born raise tucson arizona average insufficient define extraordinary teen parent helen phil emigrate south korea bear quite passion historical name something show moment name two child name composer mozart daughter madame curie cho call maddy short chos live normal happy life amadeus show childhood different incredibly smart young boy learn lot thing become highly culture increase already remarkable intelligence helen support genius son try go along talentthe amadeus grow parent realize genius boy fifteen year old excello soap corporation announce online game reward young genius quiz show name brain fight amadeus participate easily win reward place first helen philip course happy son result not know beginning end family person organize brain fight fact another genius former child prodigy pythagoras dupree whose real aim search world people whose intellect might rival eliminate unwanted rival win game amadeus cho award title mastermind excello position th smart man world pythagoras claim th enough reason kill dupree men attack amadeus house following explosion helen husband get kill amadeus run away companion coyote pup kirby,good,good
52,ancient one mcu,marvel comic,ancient one sorcerer supreme well leader master mystic art century ancient one protect earth mystical threat dedicate help others need educate magical art give new hope however later challenge former student kaecilius become corrupt dark dimension seek bring dormammu earth midst war kaecilius zealot ancient one encounter doctor strange despite initial reluctance persuade accept student karl mordo one final battle ancient one fatally wound despite best effort doctor strange christine palmer accept fate die not give doctor strange advice need defeat dormammu well find new purpose life master,good,bad
53,ando masahashi,nbc hero,ando masahashi hiro nakamuras best friend coworker initially lead bore monotonous life tokyo japan ando hiro finally fulfil dream adventure hiros ability manifest hiro journey quest save world certain destruction ando remain side stalwart companion sidekick initially without ability synthetically gain ability supercharge ability others,good,bad
54,angel dust,marvel comic,christine raise suburb chicago lead peaceful existence power emerge leave parent think would not accept reality mutant become runaway parent mention actively seek christine avoids contact join morlocks chicago cell electric eve litterbug postman shatter trader find new home live new personality accept help regard issue identity morlocks christine defend cell police deck police officer explain rookie mutant sentinel july christine argue teammate eve woman team christine consider eve cold ruthless eve argue christine belonged parent not sewer cell shatter intervene christine lose temped fling away flee tear saw cranial injury trader trader explain already injury even meet two find common point hat life hiding later help shatter reclaim dog pound eve meet exboyfriend shock see eve murder say boyfriend actually former pimp august christine join team return tunnel discover attack police try shield shatter attack heart officer plan rape fun little mutant eve defend christine electrocute officer question litterbug later tear steel door hospital allow postman one last visit comatose wife christine convince go last visit parent reveal nature mutant pleasantly surprise accept parentshowever notice sentinel approach flee hurt parent later cry comfort eve litterbug admit help design sentinel power kick september christine enrage attack litterbug role tragedy life beat shatter convince stop morlocks later work plan disable sentinel facility chicago capture sentinel christine rip open litterbug reprogrammed transport within sentinel facility within christine try use computer skill reprogram computer present facility interrupt effort save cell missile dr metellus project director discover morlocks manage destroy facility kill metellus cost cell life remain morlocks proceed steal van escape chicago christine not follow decide rejoin parent morlocks time convince flee clearly worried christine would easy target sentinel get back work mday lot mutant depowered angel dust one power berserker strength vanish,good,bad
57,angel salvadore,marvel comic,angel salvadore lived mom sister abusive father mutant power begin develop yearsold angel father molest abuse angel make secret mutant nature first manifest scar back father kick disgust claiming would never molest mutant angel fell asleep wood nearby home praying not mutant overnight cocoon encase part body heal injury catalyze development insectoid wing back scar awake youmen human graft mutant body part grant superhuman abilitiesattacked angel cut use wing angel fight back fly away crash pair power line short distance attack site youmen capture van quickly put anesthetic back xavier institute xman jean grey track angel whereabouts via cerebro guide wolverine angel aid wolverine attack kill youmen rescue young girl life wolverine convince angel come xavier institute angel agree remain distrustful towards xman stop diner eat angel wolverine notice owner recognize mutant due angel throw acid food order digest pull shotgun ask leave angel hot temper cause owner fire weapon angel fly window crash nearby wolverine calm argue way two finally arrive xavier institute angel not get along student particularly popular blonde telepaths know stepford cuckoo however cassandra nova attack institute second time angel cooperate cuckoo obtain dna sample cassandra nova beast lab search angel encounter young mutant know beak hold tank lab attack beast mind control nova sample angel retrieve instrumental trick cassandra nova enter trojan body believe follow event angel experience student improve especially make new friend beak beak angel relationship progress share flight class together follow instructor archangel space station beak struggle fly angel fly ability improve tenfold angel tease beak call loser freak beaks optimism spirit charm feisty young girl order lift spirit angel kiss beak carry destination arrive reveal angel kiss beak order win bet angel later become part xorns special class institute one class xorn take student camp forest surround mansion angel beak snuck wood dark discover youmen run back camp xorn lead student safety go fight youmen alone angel later go get help witness xorn kill youmen convince keep secret later angel beak honor prize give ceremony neither present believe would never award instead angel beak wander ground angel reveal pregnant soon lay egg wolverine would angel beak try keep secret angel secret lead suspect shooting emma frost though one shoot emma telepathic control esme one stepford cuckoo xmen discover angel egg supportive allow beak angel live shack together raise child child hatch egg resemble beak angel beak fly wing short time later magneto reveal xorn along recruit member special class new brotherhood evil mutant angel later rebel magneto threaten classmate martha magneto later defeat xmen later beak become unhinged time join exile angel distraught beaks disappearance assume beak run away later reunite depowered due scarlet witch event house one child tito also depowered resemble normal child long mutant beak angel leave xmansion later recruit night thrasher ii join new warrior angel take code name tempest receive new power technological mean wear gauntlet give heat wind ice power,good,bad
